2018_1,2018_2,2018_3,2018_4,2018_5,2018_6,2018_7,2018_8,2018_9,2018_10,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2020_7,2020_8,2020_9,2020_10,2020_11,2020_12,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12
3311,2868,3405,3120,3437,3199,3211,3238,3297,3512,3445,3964,3912,3147,3469,3398,3342,3485,3495,2979,2962,3091,2930,3099,3200,2640,2870,2776,3017,3007,3099,2957,3056,3407,3796,4368,4075,3503,3574,3505,3494,2340,2799,3216,3390,3854,4079,4423
4218,3341,4265,3531,3772,3304,3093,3168,3167,3513,3980,4542,4253,3223,3718,3698,3772,3366,3313,3098,2852,3262,4251,4326,4100,3402,3443,3172,3712,3359,3286,3343,3212,3267,3998,3908,4115,3208,3673,3544,3731,3087,3433,3187,3458,3663,3908,4791
845,698,797,792,880,807,792,784,775,819,841,898,843,791,760,831,819,806,828,801,840,845,940,950,884,743,804,817,868,957,940,942,844,864,950,1012,1025,856,874,900,830,612,686,762,856,907,914,1082
3134,2441,2913,2326,2928,2869,2871,2815,2707,3041,3221,3782,3337,2341,2955,2892,3110,3224,3139,2929,2909,3080,3322,3513,3295,3265,3640,3254,3315,3709,3409,3553,3512,3543,4005,4246,4521,3341,3943,3836,3204,2474,2963,3372,3537,4167,4194,4506
3874,3142,3522,3193,3899,3890,3904,3714,3768,4219,4107,4769,4589,3512,3797,3603,3236,3230,3168,2962,3049,3613,3896,4405,4068,3226,3240,3193,3510,3636,3520,3238,2888,3261,3446,4270,4198,3050,3053,2980,3459,2963,3112,3483,3146,3116,3415,3886
702,554,609,611,642,637,684,656,572,643,687,713,669,583,669,623,601,604,771,718,636,702,651,744,771,622,695,658,697,734,826,816,681,729,777,758,772,717,663,692,559,457,549,607,699,670,765,738
403,343,412,379,446,429,475,486,425,414,395,471,459,405,404,432,412,456,515,442,416,457,441,496,564,401,535,439,495,568,627,583,495,518,522,553,532,510,456,498,470,298,362,469,479,550,545,559
592,511,526,562,525,598,582,544,557,622,603,599,632,579,534,546,534,582,596,563,557,649,673,690,739,561,575,590,581,705,678,713,614,744,686,721,729,692,633,654,601,406,478,521,647,677,630,774
1918,1381,1884,1641,1816,1770,1752,1769,1809,1934,1946,2070,2061,1481,1817,1812,1871,1731,1960,1856,1916,2048,2184,2303,2073,1858,2001,1935,1983,2025,2201,2122,2143,2282,2520,2577,2513,2016,2229,2232,1652,1192,1452,1812,2025,2356,2316,2416
238,226,228,223,266,249,259,259,256,258,257,275,241,229,233,213,266,253,257,258,262,262,258,277,245,237,229,222,270,255,258,261,260,261,256,280,244,229,234,217,271,253,264,264,262,259,262,287
1480,1137,1213,1211,1279,1531,1224,1229,1253,1326,1318,1317,1627,1178,1202,1389,1573,1815,1936,1718,1785,1842,1999,2098,1981,1515,1647,1633,1793,1949,2136,1902,1851,2050,2143,2242,2202,2025,1974,1986,1700,1273,1571,1681,1830,1964,2104,2346
284,256,269,259,265,241,281,268,261,269,321,310,328,300,285,312,279,291,363,347,333,335,324,316,358,296,299,269,289,370,442,411,348,391,328,342,374,313,310,294,301,200,275,291,303,360,325,365
2925,2180,2856,2656,2480,2439,2695,2580,2460,2472,2687,2744,3817,2813,3303,3432,3517,3359,3636,3611,3505,3817,4046,4222,4052,3720,3903,3654,4014,4079,4286,4031,4169,4426,4634,4833,4757,3492,4128,4133,3362,2858,3119,3539,3839,4334,4380,4899
1190,1163,1327,1177,1280,1128,1189,1156,1164,1245,1270,1463,1499,1434,1396,1340,1297,1440,1326,1198,1303,1416,1393,1543,1605,1260,1332,1378,1453,1621,1534,1361,1223,1264,1308,1461,1545,1425,1318,1368,1256,843,948,1101,1226,1401,1479,1568
572,526,609,591,631,537,526,538,602,625,628,645,670,544,549,570,551,600,590,514,557,615,664,694,723,535,557,578,642,678,703,579,635,684,665,746,689,664,682,680,634,417,499,524,620,700,680,805
899,768,838,729,866,784,822,814,811,951,854,933,908,721,742,748,805,828,843,787,847,977,985,971,878,871,864,838,875,963,939,912,861,973,1022,1101,1250,927,918,905,824,572,753,823,928,973,1022,1213
748,599,626,570,685,609,664,680,664,807,760,751,889,637,759,746,754,789,792,766,756,829,884,873,846,772,797,739,787,832,890,842,864,915,944,1019,1027,783,848,807,717,555,626,737,788,856,826,955
249,244,299,264,301,295,278,287,297,297,328,348,340,289,303,323,337,343,371,381,372,366,364,401,352,315,369,340,389,378,399,351,338,315,366,375,399,338,312,328,286,221,296,347,339,314,352,361
81,44,61,61,105,95,93,94,73,61,75,57,68,63,68,69,72,76,95,68,63,73,85,66,67,51,68,49,89,91,133,112,90,76,69,74,60,59,58,75,98,35,48,50,55,73,79,70
565,492,594,507,593,566,550,522,517,360,332,441,592,472,506,544,516,487,562,576,554,559,684,621,644,582,560,505,537,553,491,448,425,534,663,624,699,617,546,563,549,368,464,556,642,690,696,741
65,49,52,61,83,63,57,59,67,65,73,59,80,48,68,68,86,72,60,75,72,84,97,91,83,48,69,53,60,82,71,69,65,90,112,83,79,63,79,78,64,59,53,55,73,101,90,91
2,0,3,0,4,2,1,1,1,0,3,2,3,0,3,8,7,2,4,7,3,5,1,6,1,1,2,1,2,1,6,10,6,5,4,2,3,3,2,3,7,5,3,1,8,8,2,4
